Source,Target,Weight
1.FC Magdeburg,G. Halberstadt,15
1.FC Nuremberg,B. Leverkusen,13
1.FC Nuremberg,VfB Stuttgart,12
1.FSV Mainz 05,1.FC Köln,9
1.FSV Mainz 05,FC Schalke 04,15
1.JFS Köln Jgd.,1.FC Köln Yth.,9
1.SC Znojmo,Sigma Olomouc,9
1461 Trabzon,Trabzonspor,49
1461 Trabzon ,Trabzonspor,10
1860 Munich,Arm. Bielefeld,9
A. Klagenfurt,Viktoria Berlin,9
A. Lustenau,Clermont Foot,11
A. Lustenau,FC Dornbirn,10
A. Lustenau,SCR Altach,15
A. Malagueño,Málaga CF,46
A. Selcukluspor,Konyaspor,10
A. Selcukspor,Konyaspor,19
A. Vienna Res.,Austria Vienna,36
A.Sebatspor,Trabzonspor,17
ABC FC,América-RN,9
ABC FC,Atlético-PR,10
ABC FC,Caxias-RS,9
ABC FC,EC Vitória,10
ABC FC,Tombense,9
AC Ajaccio,FC Lorient,13
AC Ajaccio B,AC Ajaccio,37
AC Arles B,AC Arles-Avignon,9
AC Bellinzona,FC Chiasso,17
AC Bellinzona,FC Locarno,14
AC Bellinzona,FC Lugano,18
AC Bellinzona,FC Paradiso,10
AC Bellinzona,FC Sion,13
AC Carpenedolo,Parma,9
AC Cesena Youth,Bologna Youth,12
AC Horsens,FC Midtjylland,15
AC Milan,AS Roma,12
AC Milan,Atalanta BC,15
AC Milan,Bologna,10
AC Milan,Chelsea,10
AC Milan,Como,10
AC Milan,FC Empoli,13
AC Milan,Fiorentina,12
AC Milan,Genoa,27
AC Milan,Juventus,9
AC Milan,Lecce,12
AC Milan,Parma,9
AC Milan,Sampdoria,13
AC Milan,Torino,11
AC Pisa,AS Roma,10
AC Siena,Chievo Verona,9
AC Siena,Genoa,14
AC Siena,Hellas Verona,12
AC Siena,Juventus,17
AC Siena,Torino,13
AC Venezia 1907,Chievo Verona,10
AD Alcorcón,CF Fuenlabrada,11
AD Alcorcón B,AD Alcorcón,16
AD Bahia-BA,EC Vitória,9
ADO Den Haag,FC Dordrecht,13
ADO Den Haag,Feyenoord,10
ADO Den Haag,Sparta R.,10
AE Larisa,AO Trikala,10
AEK Athens,AEK Athens B,12
AFC Tubize,R Charleroi SC,10
AFC Wimbledon,Hampton & Rich.,10
AFC Wimbledon,Newport County,10
AFC Wimbledon,Woking,9
AFC Youth,AZ Alkmaar Yth.,26
AFC Youth,Ajax Youth ,16
AIK,GIF Sundsvall,18
AJ Auxerre,Dijon,9
AJ Auxerre,LB Châteauroux,11
AJ Auxerre B,AJ Auxerre,86
AO Chaidariou,AO Egaleo,9
AO Egaleo,AO Chaidariou,9
APO Levadiakos,Olympiacos,13
APO Levadiakos,Panathinaikos,11
AS Gubbio,Bari,9
AS Gubbio,Fiorentina,9
AS Gubbio,Parma,26
AS Livorno,AS Roma,10
AS Livorno,Alessandria,9
AS Livorno,Inter,11
AS Moulins,AS Yzeure,13
AS Nancy B,AS Nancy,69
AS Rom Youth,Lazio Youth,12
AS Roma,AC Milan,11
AS Roma,AC Pisa,10
AS Roma,AS Livorno,11
AS Roma,Atalanta BC,10
AS Roma,Bari,18
AS Roma,Brescia,11
AS Roma,Cagliari,12
AS Roma,Genoa,16
AS Roma,Hellas Verona,12
AS Roma,Inter,18
AS Roma,Lecce,10
AS Roma,Parma,9
AS Roma,Perugia,9
AS Roma,Pescara,19
AS Roma,Sampdoria,12
AS Roma,Sassuolo,20
AS Roma,Torino,13
AS Trencin,FC ViOn,10
ASEC Mimosas,KSK Beveren,9
ASPIRE FD,KAS Eupen,11
AZ Alkmaar,Ajax,9
AZ Alkmaar,Feyenoord,10
AZ Alkmaar,RKC Waalwijk,9
AZ Alkmaar,Sparta R.,12
AaFK Youth,Aalesund,13
Aalborg BK,Silkeborg IF,9
Aarhus GF,AC Horsens,11
Aarhus GF,Silkeborg IF,12
Aberdeen FC,Dundee FC,10
Aberdeen FC,Dunfermline A.,11
Aberdeen FC,Forfar Athletic,11
Aberdeen FC,Inverness CT,11
Aberdeen FC,Livingston FC,9
Aberdeen FC,Peterhead,9
Aberdeen FC,St. Johnstone,13
Aberdeen FC,St. Mirren,14
Aberdeen FC B,Aberdeen FC,12
Académicos,Atlas,17
Accrington,Clitheroe,12
Accrington,Southport,9
Adana Demir Yth,Adana Demirspor,12
Adana Demirspor,Eyüpspor,12
Adana Demirspor,Kayserispor,9
Adana Demirspor,Sanliurfaspor ,13
Adanaspor,Istanbulspor,9
Adanaspor,Karsiyaka,9
Adanaspor,Samsunspor,12
Admira Wacker,Austria Vienna,10
Admira Wacker,Rapid Vienna,13
Afragolese,Angri,10
Ajax,FC Groningen,10
Ajax,NAC Breda,12
Ajax,Sparta R.,9
Ajax,Twente FC,13
Ajax,Vitesse,12
Ajax Youth ,AFC Youth,13
Ajax Youth ,Haarlem Youth,12
Akad Chertanovo,Chertanovo,14
Akron Konoplev,Akad. Togliatti,11
Akron Konoplev,Lada-SOK Dimitr.,12
Al-Ahli SC,Al-Duhail SC,15
Al-Arabi SC,Al-Khor SC,10
Al-Arabi SC,Al-Sadd,10
Al-Arabi SC,Al-Sailiya SC,10
Al-Arabi SC Aca,Al-Arabi SC,15
Al-Duhail SC,Al-Ahli SC,18
Al-Duhail SC,Al-Arabi SC,9
Al-Duhail SC,Al-Khor SC,10
Al-Duhail SC,Al-Sailiya SC,12
