from_team_name,to_team_name,weight,transfer_fee
1.FC Magdeburg,G. Halberstadt,15,0
1.FC Nuremberg,B. Leverkusen,13,20730000
1.FC Nuremberg,VfB Stuttgart,12,17000000
1.FSV Mainz 05,1.FC Köln,9,24750000
1.FSV Mainz 05,FC Schalke 04,15,33950000
1.JFS Köln Jgd.,1.FC Köln Yth.,9,0
1.SC Znojmo,Sigma Olomouc,9,0
1461 Trabzon,Trabzonspor,49,0
1461 Trabzon ,Trabzonspor,10,0
1860 Munich,Arm. Bielefeld,9,0
A. Klagenfurt,Viktoria Berlin,9,0
A. Lustenau,Clermont Foot,11,0
A. Lustenau,FC Dornbirn,10,0
A. Lustenau,SCR Altach,15,100000
A. Malagueño,Málaga CF,46,0
A. Selcukluspor,Konyaspor,10,0
A. Selcukspor,Konyaspor,19,0
A. Vienna Res.,Austria Vienna,36,0
A.Sebatspor,Trabzonspor,17,0
ABC FC,América-RN,9,0
ABC FC,Atlético-PR,10,0
ABC FC,Caxias-RS,9,0
ABC FC,EC Vitória,10,0
ABC FC,Tombense,9,0
AC Ajaccio,FC Lorient,13,1450000
AC Ajaccio B,AC Ajaccio,37,0
AC Arles B,AC Arles-Avignon,9,0
AC Bellinzona,FC Chiasso,17,0
AC Bellinzona,FC Locarno,14,0
AC Bellinzona,FC Lugano,18,0
AC Bellinzona,FC Paradiso,10,0
AC Bellinzona,FC Sion,13,690000
AC Carpenedolo,Parma,9,0
AC Cesena Youth,Bologna Youth,12,0
AC Horsens,FC Midtjylland,15,600000
AC Milan,AS Roma,12,23000000
AC Milan,Atalanta BC,15,34500000
AC Milan,Bologna,10,6400000
AC Milan,Chelsea,10,43880000
AC Milan,Como,10,0
AC Milan,FC Empoli,13,7750000
AC Milan,Fiorentina,12,1300000
AC Milan,Genoa,27,36050000
AC Milan,Juventus,9,65800000
AC Milan,Lecce,12,0
AC Milan,Parma,9,3000000
AC Milan,Sampdoria,13,9300000
AC Milan,Torino,11,16150000
AC Pisa,AS Roma,10,0
AC Siena,Chievo Verona,9,3000000
AC Siena,Genoa,14,13280000
AC Siena,Hellas Verona,12,275000
AC Siena,Juventus,17,8150000
AC Siena,Torino,13,3900000
AC Venezia 1907,Chievo Verona,10,0
AD Alcorcón,CF Fuenlabrada,11,0
AD Alcorcón B,AD Alcorcón,16,0
AD Bahia-BA,EC Vitória,9,0
ADO Den Haag,FC Dordrecht,13,0
ADO Den Haag,Feyenoord,10,2300000
ADO Den Haag,Sparta R.,10,0
AE Larisa,AO Trikala,10,0
AEK Athens,AEK Athens B,12,0
AFC Tubize,R Charleroi SC,10,0
AFC Wimbledon,Hampton & Rich.,10,0
AFC Wimbledon,Newport County,10,0
AFC Wimbledon,Woking,9,0
AFC Youth,AZ Alkmaar Yth.,26,0
AFC Youth,Ajax Youth ,16,0
AIK,GIF Sundsvall,18,125000
AJ Auxerre,Dijon,9,0
AJ Auxerre,LB Châteauroux,11,0
AJ Auxerre B,AJ Auxerre,86,0
AO Chaidariou,AO Egaleo,9,0
AO Egaleo,AO Chaidariou,9,0
APO Levadiakos,Olympiacos,13,1000000
APO Levadiakos,Panathinaikos,11,4500000
AS Gubbio,Bari,9,60000
AS Gubbio,Fiorentina,9,0
AS Gubbio,Parma,26,0
AS Livorno,AS Roma,10,0
AS Livorno,Alessandria,9,0
AS Livorno,Inter,11,1500000
AS Moulins,AS Yzeure,13,0
AS Nancy B,AS Nancy,69,0
AS Rom Youth,Lazio Youth,12,0
AS Roma,AC Milan,11,24150000
AS Roma,AC Pisa,10,0
AS Roma,AS Livorno,11,2975000
AS Roma,Atalanta BC,10,7500000
AS Roma,Bari,18,1850000
AS Roma,Brescia,11,2450000
AS Roma,Cagliari,12,1400000
AS Roma,Genoa,16,8700000
AS Roma,Hellas Verona,12,12100000
AS Roma,Inter,18,108100000
AS Roma,Lecce,10,670000
AS Roma,Parma,9,1100000
AS Roma,Perugia,9,10310000
AS Roma,Pescara,19,7450000
AS Roma,Sampdoria,12,1500000
AS Roma,Sassuolo,20,58200000
AS Roma,Torino,13,15000000
AS Trencin,FC ViOn,10,10000
ASEC Mimosas,KSK Beveren,9,0
ASPIRE FD,KAS Eupen,11,0
AZ Alkmaar,Ajax,9,40200000
AZ Alkmaar,Feyenoord,10,11550000
AZ Alkmaar,RKC Waalwijk,9,0
AZ Alkmaar,Sparta R.,12,0
AaFK Youth,Aalesund,13,0
Aalborg BK,Silkeborg IF,9,500000
Aarhus GF,AC Horsens,11,700000
Aarhus GF,Silkeborg IF,12,0
Aberdeen FC,Dundee FC,10,0
Aberdeen FC,Dunfermline A.,11,0
Aberdeen FC,Forfar Athletic,11,0
Aberdeen FC,Inverness CT,11,0
Aberdeen FC,Livingston FC,9,250000
Aberdeen FC,Peterhead,9,0
Aberdeen FC,St. Johnstone,13,0
Aberdeen FC,St. Mirren,14,600000
Aberdeen FC B,Aberdeen FC,12,0
Académicos,Atlas,17,0
Accrington,Clitheroe,12,0
Accrington,Southport,9,0
Adana Demir Yth,Adana Demirspor,12,0
Adana Demirspor,Eyüpspor,12,0
Adana Demirspor,Kayserispor,9,0
Adana Demirspor,Sanliurfaspor ,13,0
Adanaspor,Istanbulspor,9,0
Adanaspor,Karsiyaka,9,0
Adanaspor,Samsunspor,12,0
Admira Wacker,Austria Vienna,10,650000
Admira Wacker,Rapid Vienna,13,2060000
Afragolese,Angri,10,0
Ajax,FC Groningen,10,3050000
Ajax,NAC Breda,12,0
Ajax,Sparta R.,9,0
Ajax,Twente FC,13,3905000
Ajax,Vitesse,12,1600000
Ajax Youth ,AFC Youth,13,0
Ajax Youth ,Haarlem Youth,12,0
Akad Chertanovo,Chertanovo,14,0
Akron Konoplev,Akad. Togliatti,11,0
Akron Konoplev,Lada-SOK Dimitr.,12,0
Al-Ahli SC,Al-Duhail SC,15,0
Al-Arabi SC,Al-Khor SC,10,330000
Al-Arabi SC,Al-Sadd,10,0
Al-Arabi SC,Al-Sailiya SC,10,0
Al-Arabi SC Aca,Al-Arabi SC,15,0
Al-Duhail SC,Al-Ahli SC,18,0
Al-Duhail SC,Al-Arabi SC,9,0
Al-Duhail SC,Al-Khor SC,10,0
Al-Duhail SC,Al-Sailiya SC,12,0
Al-Duhail SC,Al-Wakrah SC,17,0
Al-Gharafa,Al-Khor SC,9,0
Al-Gharafa,Muaither SC,9,0
Al-Kharaitiyat,Al-Sadd,9,0
Al-Khor SC,Al-Rayyan,11,0
Al-Markhiya SC,Al-Khor SC,9,0
Al-Rayyan,Al-Gharafa,11,0
Al-Rayyan,Al-Sadd,13,0
Al-Rayyan,Al-Sailiya SC,15,0
Al-Rayyan,Al-Shahania SC,11,0
Al-Rayyan,Qatar SC,12,0
Al-Rayyan SC Res,Al-Rayyan,12,0
Al-Sadd,Al-Ahli SC,9,0
Al-Sadd,Al-Arabi SC,16,0
Al-Sadd,Al-Kharaitiyat,13,0
Al-Sadd,Al-Rayyan,17,0
Al-Sadd Reserve,Al-Sadd,19,0
Al-Sailiya SC,Al-Arabi SC,9,0
Al-Sailiya SC,Al-Kharaitiyat,9,0
Al-Sailiya SC,Al-Rayyan,11,0
Al-Shahania SC,Al-Rayyan,9,0
Al-Wakrah SC,Al-Duhail SC,14,0
Alania,Alania-D Vladik.,11,0
Alavés,Espanyol,11,0
Alavés,Real Betis,9,2500000
